dataset,model,round,loss,accuracy
cicids2017,LR,0,0.7441434264183044,0.16234275698661804
cicids2017,LR,1,0.1638815850019455,0.9496148824691772
cicids2017,LR,2,0.15495264530181885,0.9530601501464844
cicids2017,LR,3,0.15112559497356415,0.9534770846366882
cicids2017,LR,4,0.1488780677318573,0.9535846710205078
cicids2017,LR,5,0.14731937646865845,0.953649640083313
cicids2017,LR,6,0.14613434672355652,0.9539634585380554
cicids2017,LR,7,0.1451684683561325,0.9539343118667603
cicids2017,LR,8,0.14434123039245605,0.953885018825531
cicids2017,LR,9,0.14361926913261414,0.9538760781288147
cicids2017,LR,10,0.14299611747264862,0.9538939595222473
